,SDS_CODE,SDS_KT,SDS_NR,SDS_NAME,BFS_CODE,COORD_X,COORD_Y,LAT,LONG,POPS2018,1022_sechs,1045_Donnstig,1054_1055_Rucken,1074_Kase,1095_Schnee,1105_Eis,1107_Mause,1160_Apfel,2027_Besen,2097_trinken,2147_folgen,3008_gelaufen,3056_gehen_1sg,4071_Schluckauf
1,AG1,AG,1,Magden,4253,628200,264100,47.52703,7.81309,3914,c_ä_übof,c_o,c_u,,c_e_geschl / c_e_neutr,c_ii,c_üü,c_ö,c_lang,c_nk,c_l,c_gloffe,c_gang,c_glugg
2,AG2,AG,2,Mohlin,4254,630600,267500,47.5575,7.84519,11043,c_ä_übof,c_o,c_u,c_è_neutr,c_e_neutr,c_ii,c_üü,c_ö,c_lang,c_nk,c_l,c_gloffe,c_gang,c_glugg
3,AG3,AG,3,Obermumpf,4256,637600,264400,47.52926,7.93793,1074,c_ä_übof,c_o,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_lang,c_nk,c_l,c_gloffe,c_gang,c_glugg
4,AG4,AG,4,Wegenstetten,4262,637300,260900,47.4978,7.93365,1066,c_ä_übof,c_u,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_lang,c_nk,c_l,c_gloffe,c_gang,c_glugg
5,AG5,AG,5,Schupfart,4259,639700,262700,47.51384,7.96566,808,c_ä_übof,c_o,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_lang,c_nk,c_l,c_gloffe,c_gang,c_glugg
6,AG6,AG,6,Frick,4163,643900,262000,47.50728,8.02135,5564,c_è_neutr / c_ä_übof,c_o,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_lang,c_nk,c_l,c_gloffe,c_gang,c_glugg
7,AG7,AG,7,Kaisten,4169,645600,265600,47.53954,8.04428,2670,c_ä_übof,c_o,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_lang,c_nk,c_l,c_gloffe,c_gang,c_glugg
8,AG8,AG,8,Elfingen,4097,649800,262000,47.50686,8.09966,300,c_ä_übof,c_o,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_lang,c_nk,c_l,c_gloffe,c_gaa,c_glugg / c_higg
9,AG9,AG,9,Gansingen,4164,652400,266000,47.54263,8.13464,1034,c_ä_übof,c_o,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_lang,c_nk,c_l,c_gloffe,c_gang,c_glugg
10,AG10,AG,10,Wil,4180,653700,268000,47.56052,8.15214,674,c_ä_übof,c_o,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_lang,c_nk,c_l,c_gloffe,c_gang,c_glugg
11,AG11,AG,11,Leibstadt,4311,655400,271200,47.58915,8.17513,1325,c_ä_übof,c_o,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_lang,c_nk,c_l,c_gloffe,c_gang,c_glugg
12,AG12,AG,12,Villigen,4121,658500,264200,47.52593,8.21542,2127,c_ä_übof,c_o,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_lang,c_nk,c_l,c_gloffe,c_goo,c_glugg
